Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;1;0.79;0.16799999999999998;9.0;0.54;0.39;0.75;0.055;3.0;0.24;0.0;0.57;0.062;2.0;0.27;0.8
1.0;0;1.0;0.12;8.0;0.39;0.25;1.0;0.04;3.0;0.17;0.4;1.0;0.1;5.0;0.43;0.65
1.0;0;0.5;0.16;8.0;0.52;0.6;1.0;0.06;3.0;0.26;0.6;0.29;0.1;5.0;0.43;0.6
0.0;0;0.93;0.15;8.0;0.48;0.339;1.0;0.06;3.0;0.26;0.4;0.29;0.06;3.0;0.26;0.7935
1.0;1;0.57;0.04;3.0;0.13;0.4;1.0;0.02;1.0;0.09;0.4;0.14;0.0;0.0;0.0;0.2
0.0;0;1.0;0.16;8.0;0.52;0.6;1.0;0.13;4.0;0.56;0.75;1.0;0.1;5.0;0.43;0.75
1.0;0;0.71;0.16;8.0;0.52;0.47000000000000003;1.0;0.04;2.0;0.17;0.6615;1.0;0.06;3.0;0.26;0.2615
1.0;0;1.0;0.145;8.0;0.47;0.835;0.75;0.09;4.0;0.39;0.767;1.0;0.1;6.0;0.43;0.8664999999999999
1.0;0;0.86;0.14;8.0;0.45;0.7070000000000001;1.0;0.04;2.0;0.17;0.675;0.71;0.06;3.0;0.26;0.8675
1.0;0;1.0;0.16;9.0;0.52;0.5765;1.0;0.06;3.0;0.26;0.768;1.0;0.10099999999999999;4.0;0.44;0.7875
0.0;1;0.71;0.14;7.0;0.45;0.4085;0.25;0.04;2.0;0.17;0.3665;0.43;0.0;0.0;0.0;0.5
1.0;0;0.57;0.14;7.0;0.45;0.5925;0.5;0.06;3.0;0.26;0.5675;1.0;0.08;4.0;0.35;0.825
1.0;0;0.79;0.133;8.0;0.43;0.77;1.0;0.051;3.0;0.22;0.82;1.0;0.14;6.0;0.61;0.7
0.0;1;1.0;0.109;8.0;0.35;0.43499999999999994;1.0;0.08;4.0;0.35;0.41;0.71;0.068;5.0;0.29;0.475
